stocks.nbd.com.cn	30.338306063802623	0	0	27922	0	5800	6	0
chinaisa.org.cn	30.398523194569655	668	176	None	0	0	0	1
roll.finance.sina.com.cn	30.505687384072626	499	283	19	0	0	0	0
caijing365.com	30.918386632255835	0	0	1843145	0	92800	35	0
bi.qq.com	30.935431116115932	59	0	9	0	0	0	0
t.news.fx168.com	31.214065699195558	85	24	None	0	0	0	1
re.qq.com	31.31897125463311	14	8	9	0	0	0	0
xianhuo.xiejing.com	31.493435297986295	0	0	534404	0	19400	0	0
ipo.gucheng.com	31.707963484392636	23	8	None	0	0	0	1
focus.3news.cn	31.82239482461794	1	0	191412	0	4620	33	0
futures.xiejing.com	31.847734690588524	0	0	534404	0	13600	12	0
bank.xinhua08.com	31.914624097550238	49	26	199536	0	0	0	1
newsroom.accenture.com	31.96097250789004	9	7	None	0	0	0	1
money.cfi.cn	32.13509973639317	6	4	None	0	0	0	1
finance.3news.cn	32.211172937429296	6	1	191412	0	1780	31	0
industry.cfi.cn	32.26248122884059	6	1	None	0	0	0	1
index.caixin.com	33.11018857155296	10	1	None	0	369	3	0
cy.123.com.cn	34.45706879864768	10	1	18364	0	0	24	0
sanban.17ok.com	34.942236968460065	3	2	426	0	0	0	0
dazong.hexun.com	35.18692258094343	4	2	None	0	49	8	0
tj.17ok.com	35.65894075615129	0	0	426	0	0	0	0
fund.17ok.com	35.65894075615129	0	0	426	0	0	0	0
finance.xiejing.com	35.81391549372142	238	43	534404	0	26	0	0
zhongchou.3news.cn	36.213870827126286	1	1	191412	0	48	0	0
live.gold678.com	37.11733428631151	9	7	10873	0	0	0	0
24k99.fx168.com	37.36977931758136	404	360	None	0	0	0	0
weyt.p5w.net	37.61589384405508	21	5	25554	0	0	0	0
research.pedaily.cn	37.7482367955909	244	52	None	0	0	0	0
sc.hkex.com.hk	38.013554482555	83	69	None	0	0	0	0
99qh.fx168.com	38.0818046893673	86	42	None	0	0	0	0
jwview.com	38.10699536660139	0	0	1839725	0	0	69	0
betterworkingworld.ey.com	38.148500066693394	0	0	9570	0	0	0	0
live.123.com.cn	38.66990728343109	0	0	18364	0	0	0	0
live.cnforex.com	38.91303781940425	0	0	24886	0	0	0	0
voice.itjuzi.com	38.922401753336544	0	0	25179	0	0	0	0
sanban.stcn.com	38.97010671926587	8	5	None	0	0	0	0
ftz.nbd.com.cn	39.00512542917467	0	0	27922	0	0	0	0
world.nbd.com.cn	39.00512542917467	0	0	27922	0	0	0	0
industry.nbd.com.cn	39.00512542917467	0	0	27922	0	0	0	0
money.nbd.com.cn	39.00512542917467	0	0	27922	0	0	0	0
pwc.blogs.com	39.30902586342075	4	1	None	0	0	0	0
greenfinance.xinhua08.com	39.49516915882333	10	4	199536	0	0	0	0
credit.xinhua08.com	39.6573552020666	6	3	199536	0	0	0	0
world.xiejing.com	39.801705985929736	41	8	534404	0	0	0	0
mri.mysteel.com	39.91914221598751	0	0	87526	0	0	0	0
wjs.laoqianzhuang.com	40.00740947520291	5	3	293208	0	0	0	0
chinatechinsights.com	40.02572965111197	0	0	None	0	0	0	0
ifnews.com	40.02572965111197	0	0	None	0	0	0	0
zqt888.cn	40.02572965111197	0	0	None	0	0	0	0
stock.zhitongcaijing.com	40.02572965111197	0	0	None	0	0	0	0
autoinfo.org.cn	40.02572965111197	0	0	None	0	0	0	0
caifushibao.com.cn	40.02572965111197	0	0	None	0	0	0	0
caixinglobal.com	40.02572965111197	0	0	None	0	0	0	0
mofunvr.com	40.02572965111197	0	0	None	0	0	0	0
chinathinktanks.org.cn	40.02572965111197	0	0	None	0	0	0	0
press.chnfund.com	40.02572965111197	0	0	None	0	0	0	0
federalreserve.gov	40.02572965111197	0	0	None	0	0	0	0
do1news.com	40.02572965111197	0	0	None	0	0	0	0
xfz.cn	40.02572965111197	0	0	None	0	0	0	0
kanshangjie.com	40.02572965111197	0	0	None	0	0	0	0
reutous.com	40.02572965111197	0	0	None	0	0	0	0
events.technologyreview.com	40.02572965111197	0	0	None	0	0	0	0
house.3news.cn	40.54513604070415	0	0	191412	0	0	0	0
futures.3news.cn	40.54513604070415	0	0	191412	0	0	0	0
pl.3news.cn	40.54513604070415	0	0	191412	0	0	0	0
forex.3news.cn	40.54513604070415	0	0	191412	0	0	0	0
money.3news.cn	40.54513604070415	0	0	191412	0	0	0	0
fintech.xinhua08.com	40.57838923926422	0	0	199536	0	0	0	0
b2b.1nongjing.com	41.26874633635603	0	0	472927	0	0	0	0
biz.xiejing.com	41.366515188101	0	0	534404	0	0	0	0
fund.xiejing.com	41.366515188101	0	0	534404	0	0	0	0
magazine.capitalweek.com.cn	41.52937863369434	0	0	655063	0	0	0	0
